SAB,total_sab_nodes
HUBMAPsc,10045943
NCBI,2062731
GTEX_EXP,1822288
GTEX_EQTL,1160938
DBSNP_151,804037
MEDCIN,382831
SNOMEDCT_US,365049
MSH,349538
LNC,283678
NDC,245331
ICD10PCS,191277
NCI,168082
CHEBI,162456
MTHSPL,143818
RXNORM,110597
FMA,104377
OMIM,102990
ICD10CM,97064
ICPC2ICD10ENG,81799
MDR,78118
UWDA,62285
gp,61353
CHV,57795
GO,43683
HGNC,43164
SNOMEDCT_VET,35379
MMSL,34117
GS,32077
MSIGDB_SYSTEMATIC_NAME,31702
NDDF,31234
VANDF,30163
HCOP,27429
ICD10AM,25658
MP,23994
MONDO,22733
ICD9CM,22406
UNIPROTKB,21578
HPO,17891
UMD,17777
Orphanet,14884
CPT,14680
UBERON,14308
MMX,14229
NIC,13495
LCH_NW,13329
PDQ,13325
ICD10,12318
NOC,12159
DOID,11137
HCPT,10702
MTHICD9,9779
HL7V3.0,9614
ORPHANET,9369
CSP,8912
DRUGBANK,8482
PSY,7961
ICPC2P,7410
MEDGEN,7293
HCPCS,7135
ATC,6564
USP,5039
SPN,4881
ALT,4669
OBI,3633
NANDA-I,3527
MED-RT,3490
HL7V2.5,3430
NEU,3269
CPM,3099
MTH,2892
scHeart_PMID_31835037,2816
CL,2532
ICD10AMAE,2390
EDAM,2358
GLYCOPROTEIN,2088
ICNP,1938
PATO,1879
ICF-CY,1726
USPMG,1584
ICF,1495
MI,1389
CCS,1188
MEDLINEPLUS,1065
ICD10AE,1065
PR,1014
CDCREC,966
CDT,895
DSM-5,873
NUCCHCPT,856
HUBMAPsc_CLUSTER,820
HCDT,773
ASCTB-TEMP,747
ICPC2EENG,693
SBO,693
UO,586
CCSR_ICD10CM,543
HUBMAP,541
OMS,509
ENVO,398
CCC,382
CCSR_ICD10PCS,359
CHR,310
NBO,286
PNDS,272
SRC,270
CVX,247
HsapDv,243
AOT,240
ECTO,171
SOP,167
FOODON,164
MESH,164
EXP_BINS,159
MPATH,138
MTHICPC2ICD10AE,137
SO,93
MVX,88
PO,75
HUSAT,41
MTHICPC2EAE,27
HUBMAPsc_DONOR,23
CARO,21
P_VALUE_BINS,17
LOG2FC_BINS,17
author_defined_cluster,14
MF,13
MFOMD,12
EFO,10
MGI,9
PCO,8
OGMS,8
CLO,6
APOLLO,5
MAXO,5
glycan,5
CHMO,4
IDO,4
OBA,4
GLYGEN,4
DDANAT,3
ExO,3
conjugate,3
faldo,3
OPL,2
OMIABIS,2
MTHCMSFRF,1
MOD,1
COB,1
VO,1
ObsoleteClass,1
UPHENO,1
P01023-1-90,1
P01023-1-73,1
P01023-1-74,1
P01023-1-75,1
P01023-1-76,1
P01023-1-70,1
P01023-1-71,1
P01023-1-72,1
P01023-1-77,1
P01023-1-78,1
P01023-1-79,1
SITE00040287,1
P00915-1,1
SITE00040286,1
SITE00040283,1
P01023-1-95,1
P01023-1-96,1
P01023-1-97,1
P01023-1-98,1
P01023-1-91,1
P01023-1-92,1
P01023-1-93,1
P01023-1-94,1
P01023-1-99,1
SITE00005952,1
SITE00029911,1
SITE00052269,1
SITE00017930,1
SITE00017902,1
SITE00005921,1
SITE00017901,1
P01731-1-1,1
P01138-1-2,1
P01138-1-1,1
SITE00004600,1
SITE00004601,1
SITE00005934,1
SITE00052289,1
P01138-1-3,1
SITE00052297,1
SITE00052292,1
SITE00005905,1
SITE00040305,1
SITE00015347,1
SITE00027329,1
P01756-1,1
SITE00030989,1
SITE00029989,1
SITE00029980,1
SITE00016676,1
SITE00014028,1
SITE00041620,1
SITE00041622,1
SITE00052301,1
SITE00029995,1
SITE00016689,1
SITE00042946,1
SITE00041619,1
SITE00002010,1
SITE00003343,1
SITE00002012,1
SITE00042942,1
SITE00002014,1
SITE00027305,1
SITE00017986,1
SITE00041605,1
SITE00014006,1
SITE00014005,1
SITE00014004,1
SITE00015333,1
SITE00014000,1
SITE00042931,1
SITE00027316,1
SITE00028640,1
SITE00015300,1
SITE00005988,1
SITE00003325,1
SITE00003328,1
SITE00028612,1
SITE00051006,1
SITE00029941,1
SITE00017960,1
